Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
sample_18.trimmed.R2.v1	sample_18.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92377841.0	0.0	50-157	51.0	22.86438052040586	152.5832739476992	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_19.trimmed.R1.v1	sample_19.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82462016.0	0.0	50-157	52.0	18.152909600321383	153.01306065570844	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_19.trimmed.R2.v1	sample_19.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	82462016.0	0.0	50-157	51.0	22.534530645293625	152.95095889967084	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_2.trimmed.R1.v1	sample_2.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90610984.0	0.0	50-157	52.0	20.227118667515747	153.00092067204568	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_2.trimmed.R2.v1	sample_2.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90610984.0	0.0	50-157	51.0	24.177504763273316	152.95487308690963	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_20.trimmed.R1.v1	sample_20.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85165952.0	0.0	50-157	52.0	20.305354319203918	153.3839372452503	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_20.trimmed.R2.v1	sample_20.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85165952.0	0.0	50-157	51.0	24.28364860163719	153.33605370841155	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_21.trimmed.R1.v1	sample_21.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86394782.0	0.0	50-157	51.0	21.045805705896562	153.19828953327297	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_21.trimmed.R2.v1	sample_21.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86394782.0	0.0	50-157	51.0	24.867828623437596	153.14139614357728	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_22.trimmed.R1.v1	sample_22.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85072530.0	0.0	50-157	51.0	19.752514983992913	152.1338227745196	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
