Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
sample_55.trimmed.R1.v1	sample_55.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101892079.0	0.0	50-157	52.0	18.78063676085062	151.0755272056035	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_55.trimmed.R2.v1	sample_55.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101892079.0	0.0	50-157	51.0	22.48846438665695	151.03861147047553	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_56.trimmed.R1.v1	sample_56.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	118476384.0	0.0	50-157	51.0	18.26624455090554	151.22088089724278	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_56.trimmed.R2.v1	sample_56.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	118476384.0	0.0	50-157	50.0	20.913842493450538	151.1782466368994	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_57.trimmed.R1.v1	sample_57.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95046374.0	0.0	50-157	51.0	18.29373334493008	153.77688329278084	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_57.trimmed.R2.v1	sample_57.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95046374.0	0.0	50-157	51.0	21.470565423106386	153.74442249632796	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_58.trimmed.R1.v1	sample_58.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96136548.0	0.0	50-157	51.0	20.00646707465404	150.7581147910574	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_58.trimmed.R2.v1	sample_58.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96136548.0	0.0	50-157	51.0	23.29971918162545	150.6932198043974	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_59.trimmed.R1.v1	sample_59.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99549708.0	0.0	50-157	52.0	18.691294077850305	152.68282219371252	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_59.trimmed.R2.v1	sample_59.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99549708.0	0.0	50-157	51.0	22.266291705885376	152.64255229156473	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_6.trimmed.R1.v1	sample_6.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71772930.0	0.0	50-157	52.0	20.535876512781716	152.68364458577906	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_6.trimmed.R2.v1	sample_6.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71772930.0	0.0	50-157	51.0	24.526340080031865	152.64297167469687	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_60.trimmed.R1.v1	sample_60.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115345095.0	0.0	50-157	51.0	16.189754463867985	152.16120033539354	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_60.trimmed.R2.v1	sample_60.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115345095.0	0.0	50-157	50.0	19.432554013754906	152.09640581595602	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_61.trimmed.R1.v1	sample_61.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	138659192.0	0.0	50-157	51.0	16.717807320815133	152.43335067897988	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_61.trimmed.R2.v1	sample_61.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	138659192.0	0.0	50-157	50.0	20.130244713361083	152.36584152314978	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_62.trimmed.R1.v1	sample_62.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	174069377.0	0.0	50-157	52.0	14.464420066964589	152.91884004961997	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_62.trimmed.R2.v1	sample_62.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	174069377.0	0.0	50-157	51.0	17.845329010382756	152.86612837133322	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_63.trimmed.R1.v1	sample_63.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98082908.0	0.0	50-157	51.0	19.197923249285896	152.02279261540656	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_63.trimmed.R2.v1	sample_63.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98082908.0	0.0	50-157	51.0	22.26695701559279	151.96538896460942	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_7.trimmed.R1.v1	sample_7.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72447848.0	0.0	50-157	53.0	17.77294108251206	151.69891617760683	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_7.trimmed.R2.v1	sample_7.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72447848.0	0.0	50-157	52.0	21.268864108962944	151.67042728446538	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_8.trimmed.R1.v1	sample_8.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95654026.0	0.0	50-157	52.0	20.856292679964447	151.21997678383136	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_8.trimmed.R2.v1	sample_8.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95654026.0	0.0	50-157	51.0	24.22819817288096	151.16841902713014	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_9.trimmed.R1.v1	sample_9.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108057849.0	0.0	50-157	51.0	19.236168195012148	153.58229084312052	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_9.trimmed.R2.v1	sample_9.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108057849.0	0.0	50-157	50.0	23.194394882990764	153.5399152170797	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
