GWK47_027940	KAG0730581.1	CDD:cd07156
GWK47_027940	KAG0730581.1	GO:0003700
GWK47_027940	KAG0730581.1	GO:0005634
GWK47_027940	KAG0730581.1	GO:0006355
GWK47_027940	KAG0730581.1	GO:0008270
GWK47_027940	KAG0730581.1	GO:0043565
GWK47_027940	KAG0730581.1	InterPro:IPR013088
GWK47_027940	KAG0730581.1	InterPro:IPR035500
GWK47_027940	KAG0730581.1	PFAM:PF00104
GWK47_027940	KAG0730581.1	PFAM:PF00105
GWK47_027943	KAG0730574.1	GO:0005524
GWK47_027943	KAG0730574.1	GO:0016887
GWK47_027943	KAG0730574.1	PFAM:PF00005
GWK47_027943	KAG0730574.1	PFAM:PF12698
GWK47_027945	KAG0730576.1	CDD:cd03263
GWK47_027945	KAG0730576.1	GO:0005524
GWK47_027945	KAG0730576.1	GO:0016887
GWK47_027945	KAG0730576.1	InterPro:IPR011049
GWK47_027945	KAG0730576.1	InterPro:IPR027417
GWK47_027945	KAG0730576.1	PFAM:PF00005
GWK47_027945	KAG0730576.1	PFAM:PF12698
GWK47_027946	KAG0730577.1	CDD:cd00060
GWK47_027946	KAG0730577.1	GO:0003676
GWK47_027946	KAG0730577.1	GO:0005515
GWK47_027946	KAG0730577.1	InterPro:IPR008984
GWK47_027946	KAG0730577.1	InterPro:IPR041591
GWK47_027946	KAG0730577.1	PFAM:PF00498
GWK47_027946	KAG0730577.1	PFAM:PF01585
GWK47_027946	KAG0730577.1	PFAM:PF17780
GWK47_027949	KAG0730578.1	InterPro:IPR013130
GWK47_027949	KAG0730578.1	PFAM:PF01794
GWK47_027950	KAG0730579.1	CDD:cd00051
GWK47_027950	KAG0730579.1	GO:0005509
GWK47_027950	KAG0730579.1	InterPro:IPR018247
GWK47_027950	KAG0730579.1	PFAM:PF00036
GWK47_027950	KAG0730579.1	PFAM:PF13499
GWK47_027963	KAG0730573.1	CDD:cd09276
GWK47_027963	KAG0730573.1	GO:0003676
GWK47_027963	KAG0730573.1	GO:0004523
GWK47_027963	KAG0730573.1	InterPro:IPR036397
GWK47_027963	KAG0730573.1	PFAM:PF00075
GWK47_027969	KAG0730563.1	CDD:cd01310
