Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
sample_39	93048890.0	309.0	76141789.0	81.83	304.73	64843727.0	34048684.0	63761168.0	549059.0	6009.0	527491.0	0.7	0.04	2.46	0.04	1.97	7351541.0	7.9	17964.0	0.02	0.0	9.76	0.49	0	9081652	455944
sample_4	84355954.0	310.0	49667078.0	58.88	305.6	39565778.0	18659487.0	38781797.0	317328.0	3558.0	463095.0	0.68	0.05	2.77	0.04	2.19	8791411.0	10.42	140101.0	0.17	0.0	28.71	1.83	0	24213946	1543418
sample_40	101119708.0	309.0	82515089.0	81.6	304.94	70517910.0	36254994.0	69388440.0	563118.0	6919.0	559433.0	0.66	0.04	2.46	0.04	1.95	8708314.0	8.61	19224.0	0.02	0.0	9.27	0.49	0	9381203	495878
sample_41	94112102.0	308.0	77038085.0	81.86	304.05	63048858.0	32353691.0	61998610.0	486784.0	6398.0	557066.0	0.69	0.04	2.48	0.04	1.99	8277668.0	8.8	22456.0	0.02	0.0	8.8	0.53	0	8275483	498410
sample_42	101991167.0	309.0	82987004.0	81.37	305.1	66736819.0	34744329.0	65575541.0	554750.0	6103.0	600425.0	0.69	0.04	2.51	0.04	1.97	9089838.0	8.91	17387.0	0.02	0.0	9.21	0.49	0	9396990	499948
sample_43	81217459.0	309.0	65050442.0	80.09	304.68	55786491.0	28418595.0	54871237.0	444962.0	4680.0	465612.0	0.71	0.05	2.56	0.04	1.95	8179592.0	10.07	19187.0	0.02	0.0	9.25	0.56	0	7513374	454864
sample_44	160598301.0	309.0	129673614.0	80.74	304.58	103553378.0	51948745.0	101798446.0	781519.0	9505.0	963908.0	0.69	0.04	2.48	0.04	1.97	15134733.0	9.42	39055.0	0.02	0.0	9.29	0.52	0	14915989	834910
sample_45	1880103.0	310.0	1506859.0	80.15	305.05	1308181.0	663239.0	1284348.0	11574.0	115.0	12144.0	0.7	0.04	2.62	0.04	2.03	186693.0	9.93	1402.0	0.07	0.0	8.85	0.99	0	166521	18628
sample_46	85608166.0	309.0	68394241.0	79.89	304.57	57348387.0	28821306.0	56361839.0	469192.0	6402.0	510954.0	0.67	0.05	2.63	0.04	1.99	8417824.0	9.83	24394.0	0.03	0.0	9.64	0.6	0	8257740	513967
sample_47	100109674.0	309.0	79612197.0	79.52	304.16	68498319.0	34656821.0	67273163.0	571038.0	7134.0	646984.0	0.66	0.04	2.56	0.04	1.98	10775426.0	10.76	32731.0	0.03	0.0	8.99	0.69	0	8998656	690664
sample_48	87479575.0	309.0	70786838.0	80.92	304.27	58569496.0	30937300.0	57577289.0	469349.0	5204.0	517654.0	0.71	0.04	2.5	0.04	1.96	8057451.0	9.21	29021.0	0.03	0.0	9.27	0.56	0	8115979	490286
sample_49	96920424.0	306.0	76105611.0	78.52	301.25	68043283.0	32992130.0	66853124.0	544168.0	6481.0	639510.0	0.66	0.05	2.52	0.04	2.03	10568874.0	10.9	106500.0	0.11	0.0	9.05	1.41	0	8772650	1366789
