"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_CC_DIRECT","M band","9.09%","2","21","16","5845","5.34e-2","8.55e-1","34.79","9.28e-1","8.55e-1","1.43e-3"
"INTERPRO","Peptidase_S1A","9.09%","2","22","16","6002","5.46e-2","5.71e-1","34.10","9.99e-1","5.71e-1","1.49e-3"
"INTERPRO","Calcineurin-like_PHP_ApaH","9.09%","2","22","17","6002","5.79e-2","5.71e-1","32.10","1.00e+0","5.71e-1","1.69e-3"
"INTERPRO","Trypsin_dom","9.09%","2","22","17","6002","5.79e-2","5.71e-1","32.10","1.00e+0","5.71e-1","1.69e-3"
"INTERPRO","Peptidase_S1_PA_chymotrypsin","9.09%","2","22","18","6002","6.12e-2","5.71e-1","30.31","1.00e+0","5.71e-1","1.89e-3"
"INTERPRO","Metallo-depent_PP-like","9.09%","2","22","18","6002","6.12e-2","5.71e-1","30.31","1.00e+0","5.71e-1","1.89e-3"
"INTERPRO","Peptidase_S1_PA","9.09%","2","22","19","6002","6.45e-2","5.71e-1","28.72","1.00e+0","5.71e-1","2.11e-3"
"SMART","Tryp_SPc","9.09%","2","13","17","3019","6.56e-2","3.61e-1","27.32","7.75e-1","3.61e-1","2.25e-3"
"INTERPRO","Ig-like_fold","13.64%","3","22","122","6002","6.69e-2","5.71e-1","6.71","1.00e+0","5.71e-1","9.52e-3"
"UP_KW_DOMAIN","Signal","31.82%","7","17","790","3850","9.01e-2","6.31e-1","2.01","7.33e-1","6.31e-1","4.24e-2"

