pc1_pos_loadings	pc1_neg_loadings	pc2_pos_loadings	pc2_neg_loadings	short_OA_all	short_OA_up_sev	short_OA_down_sev	mod_short_all	mod_short_up	mod_short_down	sev_short_all	sev_short_up	sev_short_down	intersect_short_all	intersect_short_up	intersect_short_down	dose_short_increase	dose_short_decrease	mod_persist_all	sev_persist_all	long_all	long_up	long_down	long_up_0.5	long_down_0.5
							Q3T0D5			Q58CQ5														
							Q9VBC4			P51857														
							Q6ZS10			Q6UWH6														
							O08789			Q4V888														
							Q9JJT0			Q9BZC7														
							Q9CXZ1			Q9VLT1														
							P16554			Q920A6														
							Q640V2			Q64380														
							Q96FX7			Q24439														
							P97878			Q16698														
							Q9UT59			Q9VCC3														
							Q8MJ44			Q9VXB0														
							X1WE18			Q3T106														
							Q3UIK4			P17717														
							P30430			Q8N3R9														
							C0KJQ4			Q6GPQ6														
							Q0KK59			Q94522														
							E2RED8			Q969T9														
							P70478			Q5PR34														
							Q9W2N0			Q9Y5Q5														
							P85037			B4M5X4														
							P82650			O75414														
							Q810V0			Q9CQL4														
							P34690			Q9Y2G3														
							Q28C74			Q9Y2G3														
							Q7ZYI9			P59015														
							Q9Y2R2			P56252														
							Q3SX41			Q5T013														
							P51790			Q7JZM8														
							Q8MS27			Q27712														
							Q95TJ9			P14604														
							O97018			Q9DDJ0														
							Q95QV8			Q04164														
							Q6AYR9			Q4R6Y6														
							Q96ST3			Q9CXZ1														
							O15945			Q9SP08														
							A7SXK3			Q6DH44														
							A0PJE2			Q28C65														
							Q8VEH6			Q9GKI7														
							Q9VJ38			Q2YDI5														
							Q58DV5			Q9R1P1														
										Q8JG30														
										Q7QC84														
										Q7QHW5														
										Q5ZI57														
										Q4KM31														
										Q9UT59														
										Q9Z2Q5														
										Q17QJ7														
										Q13177														
										O95393														
										Q9VVT5														
										X1WE18														
										Q15111														
										A6QLJ3														
										P82798														
										O43683														
										P52432														
										Q9VV43														
										P30430														
										Q99873														
										Q0KK59														
										E2RED8														
										Q5HZT0														
										Q9VTZ5														
										Q8R035														
										Q00537														
										Q6IMM1														
										P82650														
										Q810V0														
										P82927														
										Q15269														
										Q8IV38														
										B4IBI9														
										Q9QXF7														
										Q8MS27														
										Q95TJ9														
										P55906														
										P49340														
										Q9HD33														
										P24861														
										Q9V427														
										Q9VJ38														
										Q24371														
										Q58DV5														
										Q9V4Z9														
										O16025														
										Q29RZ2														
										Q5F480														
										P21902														
										P25788														
										Q96BZ8														
										Q8BTU7														
										Q6B8I0														
										Q9ET30														
