pc1_pos_loadings	pc1_neg_loadings	pc2_pos_loadings	pc2_neg_loadings	short_OA_all	short_OA_up_sev	short_OA_down_sev	mod_short_all	mod_short_up	mod_short_down	sev_short_all	sev_short_up	sev_short_down	intersect_short_all	intersect_short_up	intersect_short_down	dose_short_increase	dose_short_decrease	mod_persist_all	sev_persist_all	long_all	long_up	long_down	long_up_0.5	long_down_0.5
Q12908	Q1HG43	P05661					Q9Y226	A1ZBT5	Q9P2C4	Q6IR70	Q9VY28	Q99LI8	Q60HD8	Q58DV5										
Q60876	O02649	P18173					Q3SWZ4	Q13685	Q99814	Q7ZVM9	P05419	Q17QD3	P70031											
Q28960	O00468	P05661					Q9V3D6	Q6P4J8	Q9VZX9	Q86TX2	Q9VMX0	E1BBQ2	Q6INE3											
Q9VZH2	P59889	Q12908					Q9VX98	Q28CH8	O95835	A5A761	B0BN28	Q16828	Q9ES00											
Q8BH31	Q9QY33	Q8BYK4					A2VE52	P82013	Q9NV92	Q9H446	Q7T312	Q16829	P56380											
O43826	Q3T0A0						Q91W98	Q32LQ3	Q9W5D0	Q9NV58	Q28C74	Q9V818	Q58CQ5											
	Q8CBH5						Q962R1	Q9NR50	P55197	O94966	Q66I84	Q8WVM7	Q9Y2G3											
	O15995						Q6NTN5	P41252	M9NDE3	Q5T3U5	A1ZBT5	M9NDE3	Q9Y2G3											
	Q2YDD0						Q59DX8	Q962X9	M9NDE3	Q8R4P9	Q9Y333	Q99816	O08789											
	P41636						O54898	P62924	M9MRI4	Q5REY8	Q96MG7	Q9D4P7	Q9CXZ1											
	Q9VKB4						Q6NU27	Q76I81	Q5M7F4	Q70CQ4	Q13685	P19137	P30430											
							Q1PCB1	Q58D06	Q9DB52	Q2KJ72	Q7Z3D4	Q5R9W4	Q0KK59											
							E2RP94	Q9VZ49	Q1LXE6	Q3SWZ4	Q9CR02	Q99JY9	Q9VJ38											
							E7F1U2	Q5U580	E7EZG2	P20936	Q6NXT2	Q640T2	Q58DV5											
							E2RP94	P42124	B2RTY4	Q5VZR4	Q9VZU4	A2ADY9												
							D3ZXK7	Q5ZKC1	Q7KVH9	Q9CPU4	Q93105	Q4R2Z0												
							P35434	Q02372	Q6PGW3	O60306	Q03601	P55196												
							Q9A8Z4	Q9NB32	A1X157	O54898	Q8BWB6	Q9NQB0												
							Q5U241	P06603	Q8SX68	Q92604	A8MPY1	Q6WKZ4												
							Q9Y520	Q9VYD7	Q8WVN8	Q1PCB1	Q5RD29	O96790												
							Q9V6L0	Q05825	A1A5H6	E2RP94	Q9NR50	Q9UK58												
							Q8INR6	O16797	A1A5H6	Q5R6B5	Q9UJA5	Q9JHD1												
							Q8INR6	D6WMZ8	Q6ZQ08	P26270	Q6AZB8	Q5MD89												
							Q568B7	Q9VKX4	Q9VS24	Q96PH1	A6QPQ5	A7MB28												
							Q9P2C4	Q9QZE7	Q5R9W4	Q8BH31	P49429	Q24298												
							Q5BJH7	Q6NUC2	P14381	Q9VY28	Q962X9	Q26240												
							Q99814	Q58D56	Q640T2	P05419	Q3T186	Q9VZS6												
							Q9VZX9	Q9NRD5	O60216	Q9VMX0	Q5ZKW0	Q9VZS6												
							O95835	P48612	F1QR43	B0BN28	P56571	Q6GQE1												
							O75715	P50882	Q8CF82	Q99814	Q9DB15	Q8K3I9												
							Q9NV92	Q9W445	Q9NQB0	Q8BH31	Q32L93	Q9CQU3												
							Q3T169	O09167	Q91ZR2	Q99LI8	Q86U38	Q68FD5												
							Q9W5D0	O95563	Q12770	Q17QD3	Q5ZKC1	Q7JQ32												
							P55197	Q922U1	P0C6S7	E1BBQ2	Q02372	Q8BX70												
							A1ZBT5	Q641C9	Q9W734	Q16828	P06603	Q15427												
							M9NDE3	P23934	B2RRD7	Q16829	Q91ZW1	P10253												
							M9NDE3	Q8AVU9	Q8VD66	Q9V818	A0A8I3S9V6	Q04164												
							M9MRI4	Q8BMP6	Q2TL32	Q8WVM7	Q9CWY8	Q7T2G1												
							Q5M7F4	B0DK66	Q5T4S7	Q7T312	Q6DF67	Q96P09												
							Q13685	Q9VCX3	Q6DIV6	Q28C74	Q5RC24	Q9VCR7												
							Q9DB52	P53611	Q28224	Q66I84	Q24K03	A2AWR3												
							Q1LXE6	Q4VC12	P42694	A1ZBT5	Q9CWU9	Q9UMX0												
							E7EZG2	A8WQ43	Q62245	M9NDE3	Q5ZK63	Q8SX83												
							B2RTY4	O01666	Q8CDM1	Q99816	Q9VKX4	O95405												
							Q7KVH9	Q08BY0	P92208	Q9D4P7	Q90596	Q0III2												
							Q6PGW3	P19536	Q6ZMQ8	Q9Y333	Q9GZR7	Q92614												
							A1X157	Q8VHK9	Q27571	Q96MG7	P38117	Q2PYN8												
							Q8SX68	Q3T106	Q26240	Q13685	Q640F2	P80746												
							Q6P4J8	Q2HJ97	A7MBL8	Q7Z3D4	Q9QZE7	A2RRP1												
							Q28CH8	Q9VFB2	B4MB78	Q9CR02	P51958	W0LYS5												
							P82013	O97366	Q96S21	Q6NXT2	A5PJA1	Q9VW71												
							Q32LQ3	O97366	Q7JQ32	Q9VZU4	O15540	A0A0R4IES7												
							Q8WVN8	Q9R0P6	A1Z713	Q93105	O35115	Q5E9N3												
							Q9NR50	Q96KR6	Q8BX70	Q03601	Q641Y2	Q7KRY7												
							A1A5H6	Q9VXK0	Q8BX70	Q8BWB6	O18373	Q64337												
							A1A5H6	Q1HPL8	Q9BGZ0	A8MPY1	Q9W445	Q7JYV2												
							Q6ZQ08	O42248	Q9UKG1	Q5RD29	O95563	C4NZN9												
							Q9VS24	Q02427	B2RZ50	Q9NR50	Q9I7U4	P29052												
							Q5R9W4	L7YAI7	P10253	P19137	Q9I7U4	O88902												
							P14381	P26572	Q4QY64	Q9UJA5	Q9I7U4	Q9VV87												
							Q640T2	Q95334	P49793	Q5R9W4	Q9I7U4	Q91WM2												
							P41252	Q9NQP4	Q96RL7	Q99JY9	Q9I7U4	Q96DX4												
							O60216	Q3SZV8	Q55FM5	Q6AZB8	Q641C9	P21902												
							Q962X9	Q1LV46	Q24306	Q640T2	Q5R7W2	Q86IC9												
							P62924	Q5R816	Q9V3P6	A6QPQ5	Q8AVU9	O42196												
							F1QR43	P09623	Q9VCR7	A2ADY9	P45521	Q9VCA2												
							Q76I81	Q8CIZ7	Q8SX83	P49429	Q922H9	P97412												
							Q8CF82	Q9BW72	Q32KX7	Q962X9	Q4R646	Q8NFA0												
							Q9NQB0	Q6GMK8	Q92614	Q3T186	C0HL66	F1QB30												
							Q91ZR2	Q8WYH8	E9PU17	Q4R2Z0	Q9CR80	Q6DFB8												
							Q58D06	Q9UJK0	Q99758	P55196	Q5XJ57	Q6DEL2												
							Q12770	P57784	O95081	Q5ZKW0	Q32KV0	Q92545												
							Q9VZ49	Q6NWG4	Q7YU29	Q9NQB0	Q9D1I5	F1Q4S1												
							Q5U580	Q9CQJ8	Q9VHC5	P56571	Q9XTL9	Q9PW70												
							P0C6S7	O46040	B3EWZ6	Q6WKZ4	Q9NQW7	Q64560												
							Q9W734	O46040	Q9U6A0	Q9DB15	Q9Z1B5	Q09225												
							B2RRD7	Q9U516	Q9Y6R4	Q32L93	P20911	Q5XGW6												
							P42124	Q9U4L6	Q8VD04	Q86U38	Q9VVN2	P54131												
							Q5ZKC1	P08429	P03958	Q5ZKC1	Q7ZWV9	P48180												
							Q02372	Q6DJI8	F1LTR1	Q02372	Q14624	Q9NZN5												
							Q9NB32	Q9U9L2	F3YDF1	O96790	P11966	Q8BL99												
							Q8VD66	Q1HG43	Q96FG2	P06603	Q4R3D4	P21902												
							P06603	P00637	O75165	Q91ZW1	A0A1D5NSM8	O95208												
							Q9VYD7	F1QRX7	Q8K296	A0A8I3S9V6	P86229	O81187												
							Q2TL32	A2VE52	Q2LD37	Q9UK58	Q9W2E7	Q9CQC9												
							Q5T4S7	Q5R587	Q2LD37	Q9CWY8	P19536	Q8NFZ3												
							Q05825	P20232	Q9JKW0	Q6DF67	Q3SYT7	Q94526												
							Q6DIV6	P20232	Q7KRY7	Q9JHD1	B0WGM1	Q24119												
							O16797	P14576	Q6PR54	Q5MD89	Q08BB1	P70398												
							D6WMZ8	K7IM66	O95373	Q5RC24	Q2HJ97	Q93008												
							Q28224	P56688	Q5ZJ01	Q24K03	Q9VFB2	P70398												
							P42694	Q5RFH0	Q7PHR1	Q9CWU9	Q5M8Y1	B7PS00												
							Q62245	Q9W5E1	Q7TMY8	A7MB28	Q6AYK6	Q8K021												
							Q9VKX4	P15531	Q7Z6Z7	Q24298	Q9W141	Q9VQ36												
							Q8CDM1	C0KJQ4	Q7Z6Z7	Q5ZK63	G5ECU1	P70031												
							P92208	Q63186	Q9VA27	Q9VKX4	Q9R0P6	Q6INE3												
							Q9QZE7	Q9VY86	O44386	Q90596	B4PZ52	Q17LW0												
							Q6ZMQ8	P52815	O88902	Q9GZR7	Q32PI6	Q6NV12												
							Q6NUC2	Q8MUR4	P49096	P38117	Q292H2	P22888												
							Q27571	Q9BVG4	Q4R7U0	Q640F2	Q9VXK0	Q9ES00												
							Q26240	P63325	Q5R5K5	Q9QZE7	Q1HPL8	P12370												
							Q58D56	Q9D9H8	P48608	Q26240	B8A4F4	Q5PQL3												
							A7MBL8	Q24251	Q96DX4	Q9VZS6	Q5TUE9	O01404												
							B4MB78	Q498T4	Q8VI75	Q9VZS6	Q9NQP4	Q99426												
							Q96S21	Q08BY0	A1A5F2	P51958	Q4V8T0	O70318												
							Q9NRD5	Q9EP86	P0CH95	Q6GQE1	P49963	Q9VGG5												
							P48612	Q60HD8	Q9ULK2	A5PJA1	P41824	Q9CR26												
							P50882	Q21738	Q61493	O15540	P27925	P51857												
							Q7JQ32	P17248	O60673	O35115	Q3SZV8	Q4V888												
							A1Z713	Q5R4J1	Q2TLY2	Q641Y2	A0A291PQF1	Q9BZC7												
							Q8BX70	P56380	Q99LG2	Q8K3I9	Q3B7H2	Q9VLT1												
							Q8BX70	Q05856	P35968	Q9CQU3	Q2KIH4	Q920A6												
							Q9BGZ0	Q18359	Q9VYV5	Q68FD5	Q2KHU4	Q64380												
							Q9W445	Q7ZUZ0	O42196	O18373	P24156	Q8N3R9												
							O09167	Q58CQ5	Q14686	Q7JQ32	P78316	Q969T9												
							O95563	B4JG34	Q6NZW8	Q8BX70	Q9Z0L8	Q5PR34												
