Sample	Unique Reads	Duplicate Reads
5010_61_S61_L003_R2_001	17218731.0	51166670.0
5010_62_S62_L003_R1_001	15840665.0	70884164.0
5010_62_S62_L003_R2_001	19208915.0	67515914.0
5010_63_S63_L003_R1_001	11640713.0	37411149.0
5010_63_S63_L003_R2_001	13307371.0	35744491.0
5010_6_S6_L003_R1_001	8874566.0	26518040.0
5010_6_S6_L003_R2_001	10397872.0	24994734.0
5010_7_S7_L003_R1_001	8239871.0	27939111.0
5010_7_S7_L003_R2_001	9717674.0	26461308.0
5010_8_S8_L003_R1_001	12027691.0	35228852.0
5010_8_S8_L003_R2_001	13785384.0	33471159.0
5010_9_S9_L003_R1_001	13122478.0	41210116.0
5010_9_S9_L003_R2_001	15508310.0	38824284.0
5329_10_S73_L004_R1_001	12830913.0	42489184.0
5329_10_S73_L004_R2_001	14544085.0	40776012.0
5329_11_S74_L004_R1_001	12587328.0	41235112.0
5329_11_S74_L004_R2_001	14010407.0	39812033.0
5329_12_S75_L004_R1_001	11289183.0	38602923.0
5329_12_S75_L004_R2_001	13226582.0	36665524.0
5329_13_S76_L004_R1_001	11554844.0	40515013.0
5329_13_S76_L004_R2_001	13794242.0	38275615.0
5329_14_S77_L004_R1_001	13228705.0	48763865.0
5329_14_S77_L004_R2_001	15524898.0	46467672.0
5329_15_S78_L004_R1_001	11600943.0	38851839.0
5329_15_S78_L004_R2_001	13784839.0	36667943.0
5329_16_S79_L004_R1_001	11426584.0	38590448.0
5329_16_S79_L004_R2_001	13555123.0	36461909.0
5329_17_S80_L004_R1_001	12803925.0	40729652.0
5329_17_S80_L004_R2_001	15043617.0	38489960.0
5329_18_S81_L004_R1_001	10894912.0	35771956.0
5329_18_S81_L004_R2_001	12937557.0	33729311.0
5329_19_S82_L004_R1_001	9205942.0	32272530.0
5329_19_S82_L004_R2_001	11117710.0	30360762.0
5329_1_S64_L004_R1_001	9748446.0	35764626.0
5329_1_S64_L004_R2_001	11724261.0	33788811.0
5329_20_S83_L004_R1_001	10498533.0	32222255.0
5329_20_S83_L004_R2_001	12282902.0	30437886.0
5329_21_S84_L004_R1_001	11260756.0	32461057.0
5329_21_S84_L004_R2_001	13191228.0	30530585.0
5329_22_S85_L004_R1_001	10382954.0	32219449.0
5329_22_S85_L004_R2_001	12122387.0	30480016.0
5329_23_S86_L004_R1_001	10235803.0	32368200.0
5329_23_S86_L004_R2_001	12033235.0	30570768.0
5329_24_S87_L004_R1_001	11676872.0	36512441.0
5329_24_S87_L004_R2_001	13921587.0	34267726.0
5329_25_S88_L004_R1_001	11179708.0	37970491.0
5329_25_S88_L004_R2_001	13379261.0	35770938.0
5329_26_S89_L004_R1_001	12318651.0	35805138.0
