Sample	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	145
5010_10_S10_L003_R1_001 - illumina_universal_adapter	0.006760639312475106	0.006771467885853337	0.006773272648083042	0.006773272648083042	0.006773272648083042	0.006776882172542452	0.006776882172542452	0.006776882172542452	0.006780491697001862	0.006856652663095415	0.0074056613333716905	0.009163860697550348	0.011469263969775576	0.01443521021807285	0.01824253661785862	0.02310600987446778	0.02865276611124327	0.03546249495636636	0.04362002023463317	0.05401184115327482	0.06756741026058945	0.08476101907054348	0.11115638858487169	0.14649507685228025	0.20324835183247703	0.28308850620750675	0.4065111417627918	0.5740439709742977	0.8065666490299286	1.1076735403863647	1.4870659639331625	1.951463049451514	2.4936212032562746	3.136432751373916	3.8341144855612797	4.623388985763512	5.188443255595427
5010_10_S10_L003_R2_001 - illumina_universal_adapter	0.006675815487678969	0.00668303453659779	0.00668303453659779	0.00668303453659779	0.00668303453659779	0.00668303453659779	0.00668303453659779	0.006684839298827495	0.006688448823286904	0.006764248836934517	0.007328056557494374	0.008955230183796443	0.012044622168605542	0.016392294379965002	0.022062135400806378	0.02901696712919775	0.0369539504629946	0.04650547408748559	0.05780617326500672	0.07171331005466788	0.0888672140955684	0.10980137310280913	0.13992646424104577	0.17897177317582263	0.2398178879405445	0.3240739345392165	0.4529902663217237	0.626512018516283	0.8659487406739137	1.1760101403092542	1.5668534192510848	2.0440011499223023	2.5995437813750017	3.2590024562994424	3.976398330226766	4.786936899971829	5.367322263992643
5010_11_S11_L003_R1_001 - illumina_universal_adapter	0.007934228176959704	0.007941985916560739	0.007945864786361258	0.007951683091062034	0.007951683091062034	0.007951683091062034	0.007951683091062034	0.007951683091062034	0.007957501395762812	0.008025381617271878	0.008607212087349587	0.010107946813170027	0.012589259824561435	0.01593750023636863	0.020007598318052232	0.024875967804682462	0.03055346953170075	0.037581593723259435	0.04596615868405929	0.056800229923886295	0.07169043531411505	0.09096027259610875	0.12067823357277789	0.16189820716892328	0.22883625120344359	0.323185104457285	0.46819510040173257	0.6655492806432315	0.9413726090622306	1.2906380703972589	1.7301054852823945	2.2647316614357194	2.876558983228756	3.5933733465905346	4.362397297467286	5.225901207397137	5.8494966322779645
5010_11_S11_L003_R2_001 - illumina_universal_adapter	0.00770149598892862	0.007705374858729137	0.007705374858729137	0.007709253728529656	0.007709253728529656	0.007709253728529656	0.007709253728529656	0.007709253728529656	0.007711193163429914	0.007783728028699602	0.00837176469045814	0.010077303741745935	0.013458514546857533	0.018277234500041126	0.024263494263180658	0.03138975386069245	0.039843750590921566	0.049905538853465436	0.0615351662893787	0.07589319074297637	0.0942363660296263	0.11701347738524844	0.15052846400964473	0.19576772249308694	0.26677741615721107	0.36591357051885176	0.5166534329326248	0.7205295448567146	1.003894559828861	1.3627369507013685	1.8140139725811615	2.36229493409325	2.9894612465124353	3.7241242292612973	4.512802413417274	5.397492710197555	6.036775254269128
5010_12_S12_L003_R1_001 - illumina_universal_adapter	0.007557246899783321	0.007563283039479634	0.007565295086045071	0.007565295086045071	0.007565295086045071	0.007565295086045071	0.007565295086045071	0.007565295086045071	0.007565295086045071	0.0076312902133914215	0.008092853695502788	0.009199881715806511	0.010804287647086389	0.012941885918207208	0.01568671984277707	0.018937382273897928	0.022537738398091825	0.026955790246479528	0.032335600353146365	0.0388522167692854	0.04714466548407959	0.05690671301026935	0.07123650864931536	0.08963908894611998	0.11747575317894807	0.15579397278976634	0.21388900050158308	0.2944400775209348	0.41212427872406227	0.5769587791416525	0.8078230141065188	1.1259955832761022	1.5384981267544668	2.0783921912955683	2.7149538258451766	3.485557600174919	4.0688209260247135
5010_12_S12_L003_R2_001 - illumina_universal_adapter	0.007470728897469507	0.007472740944034945	0.007474752990600382	0.007474752990600382	0.007474752990600382	0.007474752990600382	0.007474752990600382	0.007474752990600382	0.007474752990600382	0.007543564983138346	0.008010359786319851	0.009164067286941724	0.011330639028604844	0.014466212396182673	0.018497548894693287	0.023308754641967477	0.02871391653535883	0.03504220539297291	0.042538286077166934	0.051223083872221443	0.06173803922319791	0.0738529740030103	0.09057388578042225	0.11119213175508669	0.14138852419985987	0.18227572486542878	0.24318117921984866	0.3263426854531991	0.44656206532877774	0.6149957146426226	0.8506779963130857	1.174814673911939	1.5939670312890748	2.1436291794960622	2.791286043626119	3.5747942798079513	4.16679250341228
5010_13_S13_L003_R1_001 - illumina_universal_adapter	0.006922376869015293	0.006941621731036464	0.006943546217238581	0.006955093134451284	0.006957017620653401	0.006957017620653401	0.006960866593057636	0.006960866593057636	0.006960866593057636	0.007035921554940203	0.007512809235824827	0.009047394533393021	0.011032309602256622	0.013490648276841034	0.0166267909918111	0.02043342469959877	0.02486859560099789	0.030500796920113864	0.03736082043618057	0.04648096054801361	0.05930419700996044	0.07588133625775692	0.10277872521302667	0.13969922320616285	0.2010021915856421	0.28771068721650994	0.4232318508778765	0.606915976027907	0.8605717252062333	1.1840001065395562	1.5887033891606894	2.0873766387505186	2.659942075659597	3.3422013016031484	4.0774447118689086	4.911341903622078	5.51384541768577
5010_13_S13_L003_R2_001 - illumina_universal_adapter	0.006814605641696734	0.006826152558909436	0.006826152558909436	0.0068280770451115535	0.0068280770451115535	0.0068280770451115535	0.0068280770451115535	0.006830001531313671	0.006831926017515788	0.006897743445628194	0.007379249893397897	0.0087775815678562	0.011463009614290436	0.015291582464782238	0.020148600741685434	0.0260205930415852	0.03288254104385402	0.0410419776435902	0.05074061830777965	0.06293300819267247	0.07897937414592507	0.09876155271472739	0.12881355945250755	0.1692389317169394	0.23404792905943567	0.32473048869767535	0.46533922408295875	0.6547883401000514	0.9150523899992073	1.2469107906922843	1.6624008184762835	2.1731094198769134	2.759085446436824	3.458133120213165	4.211379329105251	5.065313116503141	5.682287997012274
5010_14_S14_L003_R1_001 - illumina_universal_adapter	0.004329277983813942	0.004330897616430409	0.004332517249046874	0.004361670636143265	0.004361670636143265	0.004361670636143265	0.004363290268759731	0.004363290268759731	0.004363290268759731	0.004409935688113956	0.0047575088476075845	0.00553460857698803	0.006822864360125183	0.008704877460458817	0.011270699451464444	0.014706588084035674	0.018938364184338356	0.024641738479962157	0.03211310373972037	0.04260508382918791	0.05823745391679562	0.08005260955450111	0.11721702349845602	0.17085050973968502	0.26283981167754145	0.39730592254136166	0.6107472633432097	0.9040549559486651	1.3143671762532965	1.8519530428985456	2.531728076575971	3.368303954898285	4.335937913132851	5.476216934046147	6.701429813293449	8.075793040558498	9.06023052522564
